
## Slide 1
  - TEXT_BOX (17)  L=0.90in  T=1.60in  W=11.50in  H=2.00in  text='Diabetes was the question.\nThe answer is much bigger than di'
  - TEXT_BOX (17)  L=0.90in  T=4.30in  W=11.50in  H=2.40in  text='The same female-skewed health burden that shows up in Zambia'
  - TEXT_BOX (17)  L=0.90in  T=6.85in  W=11.50in  H=0.40in  text='Female disease prevalence  ·  Five conditions, one pattern'

## Slide 2
  - TEXT_BOX (17)  L=0.90in  T=1.15in  W=11.50in  H=0.55in  text="Zambia's 2017 STEPS survey"
  - TEXT_BOX (17)  L=0.90in  T=2.25in  W=11.50in  H=2.20in  text='24%'
  - TEXT_BOX (17)  L=0.90in  T=4.70in  W=11.50in  H=1.80in  text='more women than men carried multiple non-communicable diseas'
  - TEXT_BOX (17)  L=0.50in  T=7.05in  W=11.40in  H=0.35in  text='Source: Pengpid S, Peltzer K. Prevalence and correlates of m'

## Slide 3
  - TEXT_BOX (17)  L=0.90in  T=1.15in  W=11.50in  H=0.90in  text='Female-to-male prevalence ratio, five conditions'
  - CHART (3)  L=0.90in  T=2.40in  W=11.50in  H=4.40in  text=''
  - TEXT_BOX (17)  L=0.50in  T=7.05in  W=11.40in  H=0.35in  text='Each bar = how many times more common the condition is in wo'

## Slide 4
  - AUTO_SHAPE (1)  L=0.50in  T=0.55in  W=1.60in  H=0.28in  text='AUTOIMMUNE'
  - TEXT_BOX (17)  L=0.50in  T=1.00in  W=5.50in  H=0.50in  text='Systemic Lupus Erythematosus (Lupus)'
  - TEXT_BOX (17)  L=0.50in  T=1.55in  W=5.20in  H=0.95in  text="A chronic autoimmune disease where the body's immune system "
  - AUTO_SHAPE (1)  L=6.30in  T=0.45in  W=3.20in  H=1.90in  text=''
  - TEXT_BOX (17)  L=6.30in  T=0.60in  W=3.20in  H=0.25in  text='FEMALE-TO-MALE RATIO'
  - TEXT_BOX (17)  L=6.30in  T=0.85in  W=3.20in  H=0.80in  text='9:1'
  - TEXT_BOX (17)  L=6.30in  T=1.65in  W=3.20in  H=0.60in  text='Nine out of every ten people living with lupus are women.'
  - LINE (9)  L=0.50in  T=2.55in  W=9.00in  H=0.00in  text=''
  - TEXT_BOX (17)  L=0.50in  T=5.15in  W=9.00in  H=0.40in  text='[1] Sex- and gender-related differences in systemic lupus er'

## Slide 5
  - AUTO_SHAPE (1)  L=0.50in  T=0.55in  W=1.60in  H=0.28in  text='MUSCULOSKELETAL'
  - TEXT_BOX (17)  L=0.50in  T=1.00in  W=5.50in  H=0.50in  text='Osteoporosis'
  - TEXT_BOX (17)  L=0.50in  T=1.55in  W=5.20in  H=0.95in  text='A silent bone-thinning disease that makes fractures much mor'
  - AUTO_SHAPE (1)  L=6.30in  T=0.45in  W=3.20in  H=1.90in  text=''
  - TEXT_BOX (17)  L=6.30in  T=0.60in  W=3.20in  H=0.25in  text='FEMALE-TO-MALE RATIO'
  - TEXT_BOX (17)  L=6.30in  T=0.85in  W=3.20in  H=0.80in  text='4.5:1'
  - TEXT_BOX (17)  L=6.30in  T=1.65in  W=3.20in  H=0.60in  text='Women over 50 carry roughly 4.5x the diagnosed osteoporosis '
  - LINE (9)  L=0.50in  T=2.55in  W=9.00in  H=0.00in  text=''
  - TEXT_BOX (17)  L=0.50in  T=5.15in  W=9.00in  H=0.40in  text='[2] Sarafrazi N, Wambogo EA, Shepherd JA. Osteoporosis or Lo'

## Slide 6
  - AUTO_SHAPE (1)  L=0.50in  T=0.55in  W=1.60in  H=0.28in  text='NEUROLOGICAL'
  - TEXT_BOX (17)  L=0.50in  T=1.00in  W=5.50in  H=0.50in  text='Migraine'
  - TEXT_BOX (17)  L=0.50in  T=1.55in  W=5.20in  H=0.95in  text='More than a bad headache — recurring, often disabling neurol'
  - AUTO_SHAPE (1)  L=6.30in  T=0.45in  W=3.20in  H=1.90in  text=''
  - TEXT_BOX (17)  L=6.30in  T=0.60in  W=3.20in  H=0.25in  text='FEMALE-TO-MALE RATIO'
  - TEXT_BOX (17)  L=6.30in  T=0.85in  W=3.20in  H=0.80in  text='3:1'
  - TEXT_BOX (17)  L=6.30in  T=1.65in  W=3.20in  H=0.60in  text='Migraine is the leading cause of disability for women under '
  - LINE (9)  L=0.50in  T=2.55in  W=9.00in  H=0.00in  text=''
  - TEXT_BOX (17)  L=0.50in  T=5.15in  W=9.00in  H=0.40in  text='[3] Buse DC et al. Sex differences in the prevalence, sympto'

## Slide 7
  - AUTO_SHAPE (1)  L=0.50in  T=0.55in  W=1.60in  H=0.28in  text='NEURODEGENERATIVE'
  - TEXT_BOX (17)  L=0.50in  T=1.00in  W=5.50in  H=0.50in  text="Alzheimer's Disease"
  - TEXT_BOX (17)  L=0.50in  T=1.55in  W=5.20in  H=0.95in  text='A progressive brain disease that destroys memory and thinkin'
  - AUTO_SHAPE (1)  L=6.30in  T=0.45in  W=3.20in  H=1.90in  text=''
  - TEXT_BOX (17)  L=6.30in  T=0.60in  W=3.20in  H=0.25in  text='FEMALE-TO-MALE RATIO'
  - TEXT_BOX (17)  L=6.30in  T=0.85in  W=3.20in  H=0.80in  text='2:1'
  - TEXT_BOX (17)  L=6.30in  T=1.65in  W=3.20in  H=0.60in  text="By age 45, a woman's lifetime risk of Alzheimer's is 1 in 5 "
  - LINE (9)  L=0.50in  T=2.55in  W=9.00in  H=0.00in  text=''
  - TEXT_BOX (17)  L=0.50in  T=5.15in  W=9.00in  H=0.40in  text="[4] Alzheimer's disease as a women's health challenge (PMC, "

## Slide 8
  - AUTO_SHAPE (1)  L=0.50in  T=0.55in  W=1.60in  H=0.28in  text='MENTAL HEALTH'
  - TEXT_BOX (17)  L=0.50in  T=1.00in  W=5.50in  H=0.50in  text='Major Depression'
  - TEXT_BOX (17)  L=0.50in  T=1.55in  W=5.20in  H=0.95in  text='A persistent mood disorder that affects how a person feels, '
  - AUTO_SHAPE (1)  L=6.30in  T=0.45in  W=3.20in  H=1.90in  text=''
  - TEXT_BOX (17)  L=6.30in  T=0.60in  W=3.20in  H=0.25in  text='FEMALE-TO-MALE RATIO'
  - TEXT_BOX (17)  L=6.30in  T=0.85in  W=3.20in  H=0.80in  text='2:1'
  - TEXT_BOX (17)  L=6.30in  T=1.65in  W=3.20in  H=0.60in  text='Twice as many women as men live with depression — in nearly '
  - LINE (9)  L=0.50in  T=2.55in  W=9.00in  H=0.00in  text=''
  - TEXT_BOX (17)  L=0.50in  T=5.15in  W=9.00in  H=0.40in  text='[5] Albert PR. Why is depression more prevalent in women? Jo'

## Slide 9
  - TEXT_BOX (17)  L=0.90in  T=0.70in  W=11.50in  H=0.40in  text='THE SO-WHAT'
  - TEXT_BOX (17)  L=0.90in  T=1.20in  W=0.60in  H=0.40in  text='Big Idea'
  - TEXT_BOX (17)  L=0.90in  T=1.70in  W=11.50in  H=3.00in  text='The same female-skewed health burden that shows up in Zambia'
  - AUTO_SHAPE (1)  L=0.90in  T=5.20in  W=11.50in  H=1.60in  text=''
  - TEXT_BOX (17)  L=1.20in  T=5.40in  W=11.00in  H=0.40in  text='ONE RECOMMENDATION'
  - TEXT_BOX (17)  L=1.20in  T=5.85in  W=11.00in  H=1.00in  text='Make sex-disaggregated reporting the default in every NCD su'

## Slide 10
  - TEXT_BOX (17)  L=0.90in  T=0.50in  W=11.50in  H=0.60in  text='Sources'
  - TEXT_BOX (17)  L=0.90in  T=1.30in  W=11.50in  H=5.50in  text='[1] Systemic Lupus Erythematosus (Lupus) — Sex- and gender-r'
  - TEXT_BOX (17)  L=0.50in  T=7.05in  W=11.40in  H=0.35in  text='All sources accessed via PubMed Central, CDC NCHS, and peer-'
